Datum;Waren_ID;Warenbezeichnung;Export;Import;Handelsbilanz
01.01.08;WA74;Kupfer und Waren daraus;939284;726520;212764
01.01.08;WA75;Nickel und Waren daraus;119475;169855;-50380
01.01.08;WA76;Aluminium und Waren daraus;1049212;1014093;35119
01.01.08;WA78;Blei und Waren daraus;39859;23614;16245
01.01.08;WA79;Zink und Waren daraus;48412;77509;-29097
01.01.08;WA80;Zinn und Waren daraus;10297;28325;-18028
01.01.08;WA81;Andere unedle Metalle, Cermets usw.;94748;135918;-41170
01.01.08;WA82;Werkzeuge, Schneidwaren, Essbestecke;538235;314395;223840
01.01.08;WA83;Verschiedene Waren aus unedlen Metallen;552935;314926;238009
01.01.08;WA84;Maschinen, Apparate, mechanische Geräte;15791426;8890881;6900545
01.01.08;WA85;Elektrotechnische Erzeugnisse;8562549;7182762;1379787
01.01.08;WA86;Schienenfahrzeuge;266938;123093;143845
01.01.08;WA87;Kraftfahrzeuge, Landfahrzeuge;13653496;5200398;8453098
01.01.08;WA88;Luftfahrzeuge, Raumfahrzeuge;1394177;1354022;40155
01.01.08;WA89;Wasserfahrzeuge;80431;447972;-367541
01.01.08;WA90;Optische, photografische usw. Erzeugnisse;3296657;1802420;1494237
01.01.08;WA91;Uhrmacherwaren;78943;100377;-21434
01.01.08;WA92;Musikinstrumente;35665;29415;6250
01.01.08;WA93;Waffen und Munition;26230;11015;15215
01.01.08;WA94;Möbel, Beleuchtungskörper usw.;1001751;1060909;-59158
01.01.08;WA95;Spielzeug, Spiele usw., Sportgeräte;362957;440487;-77530
01.01.08;WA96;Verschiedene Waren;152037;99495;52542
01.01.08;WA97;Kunstgegenstände, Sammlungsstücke;39142;26524;12618
01.01.08;WA98;Vollständige Fabrikationsanlagen;307075;5149;301926
01.01.08;WA99;Zusammenstellungen verschiedener Waren;1194266;939918;254348
01.01.09;WA01;Lebende Tiere;86144;142376;-56232
01.01.09;WA02;Fleisch;542081;411361;130720
01.01.09;WA03;Fische, Krebs- und Weichtiere;78612;233903;-155291
01.01.09;WA04;Milch, Milcherzeugnisse, Eier, Honig;510205;426284;83921
01.01.09;WA05;Andere Waren tierischen Ursprungs;49307;54053;-4746
01.01.09;WA06;Pflanzen, Waren des Blumenhandels;36414;166346;-129932
01.01.09;WA07;Gemüse, Pflanzen für Ernährung;70262;403400;-333138
01.01.09;WA08;Geniessbare Früchte und Nüsse;99310;488414;-389104
01.01.09;WA09;Kaffee, Tee, Mate, Gewürze;123400;215044;-91644
01.01.09;WA10;Getreide;156636;145420;11216
01.01.09;WA11;Müllereierzeugnisse, Malz usw.;86809;34062;52747
01.01.09;WA12;Ölsamen usw., Heilpflanzen usw.;87911;293117;-205206
01.01.09;WA13;Schellack, Gummen, Harz, Pflanzensaft;35698;30613;5085
01.01.09;WA14;Flechtstoffe usw. pflanzlichen Ursprungs;697;2071;-1374
01.01.09;WA15;Tierische und pflanzliche Fette, Öle, Wachs;133054;248317;-115263
01.01.09;WA16;Zubereitungen von Fleisch, Fisch usw.;192626;181442;11184
01.01.09;WA17;Zucker und Zuckerwaren;92781;97167;-4386
01.01.09;WA18;Kakao und Zubereitungen aus Kakao;195296;197498;-2202
01.01.09;WA19;Zubereitungen aus Getreide usw., Backwaren;308755;186362;122393
