Datum;Waren_ID;Warenbezeichnung;Export;Import;Handelsbilanz
01.02.18;WA86;Schienenfahrzeuge;404495;239179;165316
01.02.18;WA87;Kraftfahrzeuge, Landfahrzeuge;18745296;8895676;9849620
01.02.18;WA88;Luftfahrzeuge, Raumfahrzeuge;1612263;1222112;390151
01.02.18;WA89;Wasserfahrzeuge;192299;225184;-32885
01.02.18;WA90;Optische, photografische usw. Erzeugnisse;5113824;2882162;2231662
01.02.18;WA91;Uhrmacherwaren;129991;147608;-17617
01.02.18;WA92;Musikinstrumente;48946;46319;2627
01.02.18;WA93;Waffen und Munition;37237;17530;19707
01.02.18;WA94;Möbel, Beleuchtungskörper usw.;1278302;1614371;-336069
01.02.18;WA95;Spielzeug, Spiele usw., Sportgeräte;335432;491115;-155683
01.02.18;WA96;Verschiedene Waren;320963;223612;97351
01.02.18;WA97;Kunstgegenstände, Sammlungsstücke;76770;39475;37295
01.02.18;WA98;Vollständige Fabrikationsanlagen;100187;76;100111
01.02.18;WA99;Zusammenstellungen verschiedener Waren;1287875;926968;360907
01.02.19;WA01;Lebende Tiere;117121;143455;-26334
01.02.19;WA02;Fleisch;555636;473039;82597
01.02.19;WA03;Fische, Krebs- und Weichtiere;109149;318051;-208902
01.02.19;WA04;Milch, Milcherzeugnisse, Eier, Honig;728920;644750;84170
01.02.19;WA05;Andere Waren tierischen Ursprungs;75685;84097;-8412
01.02.19;WA06;Pflanzen, Waren des Blumenhandels;73187;273711;-200524
01.02.19;WA07;Gemüse, Pflanzen für Ernährung;101935;644494;-542559
01.02.19;WA08;Geniessbare Früchte und Nüsse;142888;757954;-615066
01.02.19;WA09;Kaffee, Tee, Mate, Gewürze;216094;300152;-84058
01.02.19;WA10;Getreide;167143;302923;-135780
01.02.19;WA11;Müllereierzeugnisse, Malz usw.;128253;59803;68450
01.02.19;WA12;Ölsamen usw., Heilpflanzen usw.;170377;435028;-264651
01.02.19;WA13;Schellack, Gummen, Harz, Pflanzensaft;60030;50441;9589
01.02.19;WA14;Flechtstoffe usw. pflanzlichen Ursprungs;811;4200;-3389
01.02.19;WA15;Tierische und pflanzliche Fette, Öle, Wachs;189978;279322;-89344
01.02.19;WA16;Zubereitungen von Fleisch, Fisch usw.;264702;228396;36306
01.02.19;WA17;Zucker und Zuckerwaren;174944;152574;22370
01.02.19;WA18;Kakao und Zubereitungen aus Kakao;451032;371099;79933
01.02.19;WA19;Zubereitungen aus Getreide usw., Backwaren;506345;356930;149415
01.02.19;WA20;Zubereitungen von Gemüse, Früchten usw.;225989;379825;-153836
01.02.19;WA21;Verschiedene Lebensmittelzubereitungen;482316;294259;188057
01.02.19;WA22;Getränke, alkoholhaltige Flüssigkeiten, Essig;441419;525951;-84532
01.02.19;WA23;Rückstände der Lebensmittelindustrie, Futter;340092;346225;-6133
01.02.19;WA24;Tabak;267556;161942;105614
01.02.19;WA25;Salz, Schwefel, Steine, Erden usw.;165258;154609;10649
01.02.19;WA26;Erze, Schlacken, Aschen;34463;769413;-734950
01.02.19;WA27;Mineralische Brennstoffe usw.;2646730;8720249;-6073519
01.02.19;WA28;Anorganische chemische Erzeugnisse;813924;566108;247816
01.02.19;WA29;Organische chemische Erzeugnisse;2218565;3402718;-1184153
01.02.19;WA30;Pharmazeutische Erzeugnisse;6186177;4088982;2097195
01.02.19;WA31;Düngemittel;217563;95584;121979
01.02.19;WA32;Gerb- und Farbstoffe, Farben, Lacke usw.;938881;547237;391644
01.02.19;WA33;Etherische Öle, Riech-, Schönheitsmittel;846064;605286;240778
01.02.19;WA34;Seifen, Waschmittel usw.;623287;330935;292352
01.02.19;WA35;Eiweissstoffe, Klebstoffe, Enzyme;274637;185747;88890
01.02.19;WA36;Sprengstoffe, pyrotechnische Artikel usw.;21972;11015;10957
01.02.19;WA37;Photochemische Erzeugnisse;102500;72606;29894
01.02.19;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;2171543;1264234;907309
01.02.19;WA39;Kunststoffe und Waren daraus;5081754;3462230;1619524
01.02.19;WA40;Kautschuk und Waren daraus;1247960;1168535;79425
01.02.19;WA41;Häute, Felle, Leder;65691;53815;11876
01.02.19;WA42;Lederwaren, Sattlerwaren;186560;335331;-148771
01.02.19;WA43;Pelzfelle, künstliches Pelzwerk;7050;7293;-243
01.02.19;WA44;Holz, Holzwaren, Holzkohle;707232;683516;23716
01.02.19;WA45;Kork, Korkwaren;2601;8816;-6215
01.02.19;WA46;Flechtwaren, Korbmacherwaren;4076;12558;-8482
01.02.19;WA47;Halbstoffe aus Holz usw., Papierabfall;113181;306070;-192889
01.02.19;WA48;Papier, Pappe und Waren daraus;1525512;992683;532829
01.02.19;WA49;Bücher, Zeitungen, Bilddrucke usw.;324028;214164;109864
01.02.19;WA50;Seide;2598;2301;297
01.02.19;WA51;Wolle, feine und grobe Tierhaare;43041;52180;-9139
01.02.19;WA52;Baumwolle;60940;62028;-1088
01.02.19;WA53;Andere pflanzliche Spinnstoffe, Papiergarn;4018;5713;-1695
01.02.19;WA54;Synthetisches oder künstliches Filament;156322;130967;25355
01.02.19;WA55;Synthetische oder künstliche Spinnfaser;144574;127376;17198
01.02.19;WA56;Watte, Filz, Vliesstoff usw., Tauwerk;206603;124716;81887
01.02.19;WA57;Teppiche, Fussbodenbelag aus Spinnstoff;49992;93560;-43568
01.02.19;WA58;Spezialgewebe, Spitzen, Tapisserien;44341;21077;23264
01.02.19;WA59;Getränkte, bestrichene usw. Gewebe;206356;97980;108376
01.02.19;WA60;Gewirke und Gestricke;58723;34093;24630
01.02.19;WA61;Bekleidung usw. aus Gewirken, Gestricken;737434;1315091;-577657
01.02.19;WA62;Andere Bekleidung, Bekleidungszubehör;874321;1430648;-556327
01.02.19;WA63;Andere Konfektion, Spinnstoffwaren usw.;209988;327216;-117228
01.02.19;WA64;Schuhe, Gamaschen, ähnliche Waren;673289;1009202;-335913
01.02.19;WA65;Kopfbedeckungen und Teile davon;35357;58107;-22750
01.02.19;WA66;Schirme, Gehstöcke usw., Peitschen;8714;32822;-24108
01.02.19;WA67;Zugerichtete Federn, Daunen, künstliche Blumen;14305;18800;-4495
01.02.19;WA68;Waren aus Steinen, Gips, Zement usw.;395478;279969;115509
01.02.19;WA69;Keramische Waren;302496;244128;58368
01.02.19;WA70;Glas und Glaswaren;560524;445732;114792
01.02.19;WA71;Perlen, Edelsteine, Edelmetalle;967894;1268147;-300253
01.02.19;WA72;Eisen und Stahl;1872311;2258269;-385958
01.02.19;WA73;Waren aus Eisen oder Stahl;2388051;1844489;543562
01.02.19;WA74;Kupfer und Waren daraus;999757;800237;199520
01.02.19;WA75;Nickel und Waren daraus;121831;137793;-15962
01.02.19;WA76;Aluminium und Waren daraus;1240439;1370439;-130000
01.02.19;WA78;Blei und Waren daraus;36879;46905;-10026
01.02.19;WA79;Zink und Waren daraus;65612;114552;-48940
01.02.19;WA80;Zinn und Waren daraus;9458;33893;-24435
01.02.19;WA81;Andere unedle Metalle, Cermets usw.;142198;157685;-15487
01.02.19;WA82;Werkzeuge, Schneidwaren, Essbestecke;746973;437995;308978
01.02.19;WA83;Verschiedene Waren aus unedlen Metallen;615804;409381;206423
01.02.19;WA84;Maschinen, Apparate, mechanische Geräte;18955134;11728262;7226872
01.02.19;WA85;Elektrotechnische Erzeugnisse;11328845;10788418;540427
01.02.19;WA86;Schienenfahrzeuge;306843;249896;56947
01.02.19;WA87;Kraftfahrzeuge, Landfahrzeuge;19091768;9922485;9169283
01.02.19;WA88;Luftfahrzeuge, Raumfahrzeuge;2874522;1189216;1685306
01.02.19;WA89;Wasserfahrzeuge;411615;44230;367385
01.02.19;WA90;Optische, photografische usw. Erzeugnisse;5627184;3112173;2515011
01.02.19;WA91;Uhrmacherwaren;122243;132115;-9872
01.02.19;WA92;Musikinstrumente;50418;47880;2538
01.02.19;WA93;Waffen und Munition;36663;17922;18741
01.02.19;WA94;Möbel, Beleuchtungskörper usw.;1307632;1626437;-318805
01.02.19;WA95;Spielzeug, Spiele usw., Sportgeräte;331426;510489;-179063
01.02.19;WA96;Verschiedene Waren;323051;226544;96507
01.02.19;WA97;Kunstgegenstände, Sammlungsstücke;39184;34261;4923
01.02.19;WA98;Vollständige Fabrikationsanlagen;125809;1259;124550
01.02.19;WA99;Zusammenstellungen verschiedener Waren;1389005;1013785;375220
01.02.20;WA01;Lebende Tiere;114978;156349;-41371
01.02.20;WA02;Fleisch;718920;563155;155765
01.02.20;WA03;Fische, Krebs- und Weichtiere;116481;327887;-211406
01.02.20;WA04;Milch, Milcherzeugnisse, Eier, Honig;816202;662512;153690
01.02.20;WA05;Andere Waren tierischen Ursprungs;75832;72188;3644
01.02.20;WA06;Pflanzen, Waren des Blumenhandels;72697;250067;-177370
01.02.20;WA07;Gemüse, Pflanzen für Ernährung;100466;645974;-545508
01.02.20;WA08;Geniessbare Früchte und Nüsse;167324;858231;-690907
01.02.20;WA09;Kaffee, Tee, Mate, Gewürze;225205;295453;-70248
01.02.20;WA10;Getreide;265163;267600;-2437
01.02.20;WA11;Müllereierzeugnisse, Malz usw.;137312;53766;83546
01.02.20;WA12;Ölsamen usw., Heilpflanzen usw.;161349;507117;-345768
01.02.20;WA13;Schellack, Gummen, Harz, Pflanzensaft;60742;50826;9916
01.02.20;WA14;Flechtstoffe usw. pflanzlichen Ursprungs;825;4169;-3344
01.02.20;WA15;Tierische und pflanzliche Fette, Öle, Wachs;220358;318102;-97744
01.02.20;WA16;Zubereitungen von Fleisch, Fisch usw.;293590;279704;13886
01.02.20;WA17;Zucker und Zuckerwaren;187753;126809;60944
01.02.20;WA18;Kakao und Zubereitungen aus Kakao;477647;371597;106050
01.02.20;WA19;Zubereitungen aus Getreide usw., Backwaren;534261;363326;170935
01.02.20;WA20;Zubereitungen von Gemüse, Früchten usw.;257247;420437;-163190
01.02.20;WA21;Verschiedene Lebensmittelzubereitungen;506696;307087;199609
01.02.20;WA22;Getränke, alkoholhaltige Flüssigkeiten, Essig;429326;574280;-144954
01.02.20;WA23;Rückstände der Lebensmittelindustrie, Futter;393283;316530;76753
01.02.20;WA24;Tabak;209329;174962;34367
01.02.20;WA25;Salz, Schwefel, Steine, Erden usw.;161760;139219;22541
01.02.20;WA26;Erze, Schlacken, Aschen;49034;733699;-684665
01.02.20;WA27;Mineralische Brennstoffe usw.;2548929;7484902;-4935973
01.02.20;WA28;Anorganische chemische Erzeugnisse;996504;436275;560229
01.02.20;WA29;Organische chemische Erzeugnisse;2095790;2649218;-553428
01.02.20;WA30;Pharmazeutische Erzeugnisse;6904339;4845649;2058690
01.02.20;WA31;Düngemittel;200438;100715;99723
01.02.20;WA32;Gerb- und Farbstoffe, Farben, Lacke usw.;994829;474565;520264
01.02.20;WA33;Etherische Öle, Riech-, Schönheitsmittel;802516;561770;240746
01.02.20;WA34;Seifen, Waschmittel usw.;657293;338614;318679
01.02.20;WA35;Eiweissstoffe, Klebstoffe, Enzyme;293140;190730;102410
01.02.20;WA36;Sprengstoffe, pyrotechnische Artikel usw.;23057;11655;11402
01.02.20;WA37;Photochemische Erzeugnisse;91838;70535;21303
01.02.20;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;2067903;1234654;833249
01.02.20;WA39;Kunststoffe und Waren daraus;5044936;3188938;1855998
01.02.20;WA40;Kautschuk und Waren daraus;1242407;1079462;162945
01.02.20;WA41;Häute, Felle, Leder;64635;52920;11715
01.02.20;WA42;Lederwaren, Sattlerwaren;204867;360642;-155775
01.02.20;WA43;Pelzfelle, künstliches Pelzwerk;7602;8704;-1102
01.02.20;WA44;Holz, Holzwaren, Holzkohle;725581;634781;90800
01.02.20;WA45;Kork, Korkwaren;2346;8683;-6337
01.02.20;WA46;Flechtwaren, Korbmacherwaren;4519;9801;-5282
01.02.20;WA47;Halbstoffe aus Holz usw., Papierabfall;86119;229348;-143229
01.02.20;WA48;Papier, Pappe und Waren daraus;1503894;924733;579161
01.02.20;WA49;Bücher, Zeitungen, Bilddrucke usw.;310029;195790;114239
01.02.20;WA50;Seide;3523;2980;543
01.02.20;WA51;Wolle, feine und grobe Tierhaare;40959;45759;-4800
01.02.20;WA52;Baumwolle;61557;57828;3729
01.02.20;WA53;Andere pflanzliche Spinnstoffe, Papiergarn;3832;5754;-1922
01.02.20;WA54;Synthetisches oder künstliches Filament;146734;120730;26004
01.02.20;WA55;Synthetische oder künstliche Spinnfaser;144171;111663;32508
01.02.20;WA56;Watte, Filz, Vliesstoff usw., Tauwerk;208257;126069;82188
01.02.20;WA57;Teppiche, Fussbodenbelag aus Spinnstoff;48739;89814;-41075
01.02.20;WA58;Spezialgewebe, Spitzen, Tapisserien;44306;20512;23794
01.02.20;WA59;Getränkte, bestrichene usw. Gewebe;200761;93082;107679
01.02.20;WA60;Gewirke und Gestricke;62792;37348;25444
01.02.20;WA61;Bekleidung usw. aus Gewirken, Gestricken;797794;1296252;-498458
01.02.20;WA62;Andere Bekleidung, Bekleidungszubehör;958186;1396068;-437882
01.02.20;WA63;Andere Konfektion, Spinnstoffwaren usw.;267999;318642;-50643
01.02.20;WA64;Schuhe, Gamaschen, ähnliche Waren;729127;1126960;-397833
01.02.20;WA65;Kopfbedeckungen und Teile davon;42409;64722;-22313
01.02.20;WA66;Schirme, Gehstöcke usw., Peitschen;7338;24814;-17476
01.02.20;WA67;Zugerichtete Federn, Daunen, künstliche Blumen;14157;16838;-2681
01.02.20;WA68;Waren aus Steinen, Gips, Zement usw.;411869;282703;129166
01.02.20;WA69;Keramische Waren;276040;234376;41664
01.02.20;WA70;Glas und Glaswaren;535241;423281;111960
01.02.20;WA71;Perlen, Edelsteine, Edelmetalle;1633735;1886110;-252375
01.02.20;WA72;Eisen und Stahl;1886214;1864295;21919
01.02.20;WA73;Waren aus Eisen oder Stahl;2338773;1704635;634138
01.02.20;WA74;Kupfer und Waren daraus;910074;727768;182306
01.02.20;WA75;Nickel und Waren daraus;120169;138696;-18527
01.02.20;WA76;Aluminium und Waren daraus;1209052;1278344;-69292
01.02.20;WA78;Blei und Waren daraus;34090;31956;2134
01.02.20;WA79;Zink und Waren daraus;55631;101898;-46267
01.02.20;WA80;Zinn und Waren daraus;7264;29028;-21764
01.02.20;WA81;Andere unedle Metalle, Cermets usw.;120507;145163;-24656
01.02.20;WA82;Werkzeuge, Schneidwaren, Essbestecke;699330;412460;286870
01.02.20;WA83;Verschiedene Waren aus unedlen Metallen;658762;424054;234708
01.02.20;WA84;Maschinen, Apparate, mechanische Geräte;18351037;11444578;6906459
01.02.20;WA85;Elektrotechnische Erzeugnisse;11349441;10408485;940956
01.02.20;WA86;Schienenfahrzeuge;330086;241299;88787
01.02.20;WA87;Kraftfahrzeuge, Landfahrzeuge;18454924;10026773;8428151
01.02.20;WA88;Luftfahrzeuge, Raumfahrzeuge;2504600;1129467;1375133
01.02.20;WA89;Wasserfahrzeuge;608722;89811;518911
01.02.20;WA90;Optische, photografische usw. Erzeugnisse;5550563;3178584;2371979
01.02.20;WA91;Uhrmacherwaren;126303;170276;-43973
01.02.20;WA92;Musikinstrumente;57262;51877;5385
01.02.20;WA93;Waffen und Munition;36811;17362;19449
01.02.20;WA94;Möbel, Beleuchtungskörper usw.;1344208;1698217;-354009
01.02.20;WA95;Spielzeug, Spiele usw., Sportgeräte;360327;489323;-128996
01.02.20;WA96;Verschiedene Waren;318727;236324;82403
01.02.20;WA97;Kunstgegenstände, Sammlungsstücke;81730;47960;33770
01.02.20;WA98;Vollständige Fabrikationsanlagen;90689;NULL;#WERT!
01.02.20;WA99;Zusammenstellungen verschiedener Waren;1265120;1080621;184499
01.02.21;WA01;Lebende Tiere;85372;94524;-9152
01.02.21;WA02;Fleisch;513617;409088;104529
01.02.21;WA03;Fische, Krebs- und Weichtiere;101432;290268;-188836
01.02.21;WA04;Milch, Milcherzeugnisse, Eier, Honig;747353;664362;82991
01.02.21;WA05;Andere Waren tierischen Ursprungs;68368;72477;-4109
01.02.21;WA06;Pflanzen, Waren des Blumenhandels;72930;308852;-235922
01.02.21;WA07;Gemüse, Pflanzen für Ernährung;82120;681202;-599082
01.02.21;WA08;Geniessbare Früchte und Nüsse;152735;825366;-672631
01.02.21;WA09;Kaffee, Tee, Mate, Gewürze;207875;293934;-86059
01.02.21;WA10;Getreide;236572;295736;-59164
01.02.21;WA11;Müllereierzeugnisse, Malz usw.;138241;55466;82775
01.02.21;WA12;Ölsamen usw., Heilpflanzen usw.;175022;457220;-282198
01.02.21;WA13;Schellack, Gummen, Harz, Pflanzensaft;58680;53535;5145
01.02.21;WA14;Flechtstoffe usw. pflanzlichen Ursprungs;892;2542;-1650
01.02.21;WA15;Tierische und pflanzliche Fette, Öle, Wachs;295912;310812;-14900
01.02.21;WA16;Zubereitungen von Fleisch, Fisch usw.;237066;251570;-14504
01.02.21;WA17;Zucker und Zuckerwaren;187327;121595;65732
01.02.21;WA18;Kakao und Zubereitungen aus Kakao;444254;345192;99062
01.02.21;WA19;Zubereitungen aus Getreide usw., Backwaren;515446;380566;134880
01.02.21;WA20;Zubereitungen von Gemüse, Früchten usw.;230343;414732;-184389
01.02.21;WA21;Verschiedene Lebensmittelzubereitungen;489299;322099;167200
01.02.21;WA22;Getränke, alkoholhaltige Flüssigkeiten, Essig;393314;552167;-158853
01.02.21;WA23;Rückstände der Lebensmittelindustrie, Futter;525969;345563;180406
01.02.21;WA24;Tabak;209463;205209;4254
01.02.21;WA25;Salz, Schwefel, Steine, Erden usw.;154969;144034;10935
01.02.21;WA26;Erze, Schlacken, Aschen;51136;1017536;-966400
01.02.21;WA27;Mineralische Brennstoffe usw.;1575756;5598442;-4022686
01.02.21;WA28;Anorganische chemische Erzeugnisse;1147382;459042;688340
01.02.21;WA29;Organische chemische Erzeugnisse;1925521;2715203;-789682
01.02.21;WA30;Pharmazeutische Erzeugnisse;6799923;4394586;2405337
01.02.21;WA31;Düngemittel;204455;102279;102176
01.02.21;WA32;Gerb- und Farbstoffe, Farben, Lacke usw.;977758;468813;508945
01.02.21;WA33;Etherische Öle, Riech-, Schönheitsmittel;759296;522942;236354
01.02.21;WA34;Seifen, Waschmittel usw.;648671;345247;303424
01.02.21;WA35;Eiweissstoffe, Klebstoffe, Enzyme;321711;185089;136622
01.02.21;WA36;Sprengstoffe, pyrotechnische Artikel usw.;20372;10111;10261
01.02.21;WA37;Photochemische Erzeugnisse;81020;50724;30296
01.02.21;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;2235067;1385529;849538
01.02.21;WA39;Kunststoffe und Waren daraus;5359433;3504029;1855404
01.02.21;WA40;Kautschuk und Waren daraus;1226008;1254364;-28356
01.02.21;WA41;Häute, Felle, Leder;46751;36304;10447
01.02.21;WA42;Lederwaren, Sattlerwaren;177657;308365;-130708
01.02.21;WA43;Pelzfelle, künstliches Pelzwerk;3192;4721;-1529
01.02.21;WA44;Holz, Holzwaren, Holzkohle;788311;702754;85557
01.02.21;WA45;Kork, Korkwaren;3089;7551;-4462
01.02.21;WA46;Flechtwaren, Korbmacherwaren;4835;13742;-8907
01.02.21;WA47;Halbstoffe aus Holz usw., Papierabfall;76912;262855;-185943
01.02.21;WA48;Papier, Pappe und Waren daraus;1417647;887145;530502
01.02.21;WA49;Bücher, Zeitungen, Bilddrucke usw.;301390;223049;78341
01.02.21;WA50;Seide;1568;977;591
01.02.21;WA51;Wolle, feine und grobe Tierhaare;34884;34382;502
01.02.21;WA52;Baumwolle;48546;55463;-6917
01.02.21;WA53;Andere pflanzliche Spinnstoffe, Papiergarn;3963;6824;-2861
01.02.21;WA54;Synthetisches oder künstliches Filament;127230;100349;26881
01.02.21;WA55;Synthetische oder künstliche Spinnfaser;118740;108271;10469
01.02.21;WA56;Watte, Filz, Vliesstoff usw., Tauwerk;218268;136391;81877
01.02.21;WA57;Teppiche, Fussbodenbelag aus Spinnstoff;44297;92013;-47716
01.02.21;WA58;Spezialgewebe, Spitzen, Tapisserien;40458;19634;20824
01.02.21;WA59;Getränkte, bestrichene usw. Gewebe;192261;94980;97281
01.02.21;WA60;Gewirke und Gestricke;58128;37152;20976
01.02.21;WA61;Bekleidung usw. aus Gewirken, Gestricken;821177;1390329;-569152
01.02.21;WA62;Andere Bekleidung, Bekleidungszubehör;820843;1278821;-457978
01.02.21;WA63;Andere Konfektion, Spinnstoffwaren usw.;303421;661508;-358087
01.02.21;WA64;Schuhe, Gamaschen, ähnliche Waren;680202;981328;-301126
01.02.21;WA65;Kopfbedeckungen und Teile davon;48254;63736;-15482
01.02.21;WA66;Schirme, Gehstöcke usw., Peitschen;6774;32904;-26130
01.02.21;WA67;Zugerichtete Federn, Daunen, künstliche Blumen;13050;15851;-2801
01.02.21;WA68;Waren aus Steinen, Gips, Zement usw.;403143;261483;141660
01.02.21;WA69;Keramische Waren;285709;267106;18603
01.02.21;WA70;Glas und Glaswaren;518121;408358;109763
01.02.21;WA71;Perlen, Edelsteine, Edelmetalle;1708173;2660616;-952443
01.02.21;WA72;Eisen und Stahl;2032005;2025067;6938
01.02.21;WA73;Waren aus Eisen oder Stahl;2263752;1805811;457941
01.02.21;WA74;Kupfer und Waren daraus;1021490;885388;136102
01.02.21;WA75;Nickel und Waren daraus;100063;131422;-31359
01.02.21;WA76;Aluminium und Waren daraus;1207889;1344685;-136796
01.02.21;WA78;Blei und Waren daraus;45580;33786;11794
01.02.21;WA79;Zink und Waren daraus;64268;112547;-48279
01.02.21;WA80;Zinn und Waren daraus;10467;35420;-24953
01.02.21;WA81;Andere unedle Metalle, Cermets usw.;96357;110505;-14148
01.02.21;WA82;Werkzeuge, Schneidwaren, Essbestecke;754978;456819;298159
01.02.21;WA83;Verschiedene Waren aus unedlen Metallen;651108;433072;218036
01.02.21;WA84;Maschinen, Apparate, mechanische Geräte;17975659;11778903;6196756
01.02.21;WA85;Elektrotechnische Erzeugnisse;11849049;11463832;385217
01.02.21;WA86;Schienenfahrzeuge;269323;221355;47968
01.02.21;WA87;Kraftfahrzeuge, Landfahrzeuge;18096984;9529477;8567507
01.02.21;WA88;Luftfahrzeuge, Raumfahrzeuge;1473003;719589;753414
01.02.21;WA89;Wasserfahrzeuge;1453244;84431;1368813
01.02.21;WA90;Optische, photografische usw. Erzeugnisse;5471179;3183458;2287721
01.02.21;WA91;Uhrmacherwaren;114970;157913;-42943
01.02.21;WA92;Musikinstrumente;52911;55251;-2340
01.02.21;WA93;Waffen und Munition;41068;18142;22926
01.02.21;WA94;Möbel, Beleuchtungskörper usw.;1285164;1782882;-497718
01.02.21;WA95;Spielzeug, Spiele usw., Sportgeräte;401397;636035;-234638
01.02.21;WA96;Verschiedene Waren;312521;239010;73511
01.02.21;WA97;Kunstgegenstände, Sammlungsstücke;78385;31708;46677
01.02.21;WA98;Vollständige Fabrikationsanlagen;36017;4884;31133
01.02.21;WA99;Zusammenstellungen verschiedener Waren;1129155;901214;227941
01.02.22;WA01;Lebende Tiere;90635;83451;7184
01.02.22;WA02;Fleisch;528212;486622;41590
01.02.22;WA03;Fische, Krebs- und Weichtiere;110836;316987;-206151
01.02.22;WA04;Milch, Milcherzeugnisse, Eier, Honig;893894;766904;126990
01.02.22;WA05;Andere Waren tierischen Ursprungs;77082;90715;-13633
01.02.22;WA06;Pflanzen, Waren des Blumenhandels;85425;332261;-246836
01.02.22;WA07;Gemüse, Pflanzen für Ernährung;99593;677072;-577479
01.02.22;WA08;Geniessbare Früchte und Nüsse;157098;848183;-691085
01.02.22;WA09;Kaffee, Tee, Mate, Gewürze;294523;453365;-158842
01.02.22;WA10;Getreide;241309;315748;-74439
01.02.22;WA11;Müllereierzeugnisse, Malz usw.;171051;66057;104994
01.02.22;WA12;Ölsamen usw., Heilpflanzen usw.;221431;701500;-480069
01.02.22;WA13;Schellack, Gummen, Harz, Pflanzensaft;61040;61832;-792
01.02.22;WA14;Flechtstoffe usw. pflanzlichen Ursprungs;1303;4774;-3471
01.02.22;WA15;Tierische und pflanzliche Fette, Öle, Wachs;346316;405499;-59183
01.02.22;WA16;Zubereitungen von Fleisch, Fisch usw.;243812;262976;-19164
01.02.22;WA17;Zucker und Zuckerwaren;240757;144635;96122
01.02.22;WA18;Kakao und Zubereitungen aus Kakao;505471;366271;139200
01.02.22;WA19;Zubereitungen aus Getreide usw., Backwaren;584543;394274;190269
01.02.22;WA20;Zubereitungen von Gemüse, Früchten usw.;236968;416872;-179904
01.02.22;WA21;Verschiedene Lebensmittelzubereitungen;559842;350588;209254
01.02.22;WA22;Getränke, alkoholhaltige Flüssigkeiten, Essig;486350;635539;-149189
01.02.22;WA23;Rückstände der Lebensmittelindustrie, Futter;511664;437049;74615
01.02.22;WA24;Tabak;206302;196740;9562
01.02.22;WA25;Salz, Schwefel, Steine, Erden usw.;189535;170729;18806
01.02.22;WA26;Erze, Schlacken, Aschen;60512;873303;-812791
01.02.22;WA27;Mineralische Brennstoffe usw.;4022765;12263352;-8240587
01.02.22;WA28;Anorganische chemische Erzeugnisse;1268191;709047;559144
01.02.22;WA29;Organische chemische Erzeugnisse;2805943;5455505;-2649562
01.02.22;WA30;Pharmazeutische Erzeugnisse;8879124;5508220;3370904
01.02.22;WA31;Düngemittel;385255;158084;227171
01.02.22;WA32;Gerb- und Farbstoffe, Farben, Lacke usw.;1094073;540870;553203
01.02.22;WA33;Etherische Öle, Riech-, Schönheitsmittel;845223;545791;299432
01.02.22;WA34;Seifen, Waschmittel usw.;742885;386482;356403
01.02.22;WA35;Eiweissstoffe, Klebstoffe, Enzyme;388865;241176;147689
01.02.22;WA36;Sprengstoffe, pyrotechnische Artikel usw.;20781;14729;6052
01.02.22;WA37;Photochemische Erzeugnisse;91885;51991;39894
01.02.22;WA38;Verschiedene Erzeugnisse der Chemischen Industrie;2843966;1979574;864392
01.02.22;WA39;Kunststoffe und Waren daraus;6644102;4337340;2306762
01.02.22;WA40;Kautschuk und Waren daraus;1292911;1273079;19832
01.02.22;WA41;Häute, Felle, Leder;61348;49170;12178
01.02.22;WA42;Lederwaren, Sattlerwaren;211448;345854;-134406
01.02.22;WA43;Pelzfelle, künstliches Pelzwerk;3924;7440;-3516
01.02.22;WA44;Holz, Holzwaren, Holzkohle;1049620;937486;112134
01.02.22;WA45;Kork, Korkwaren;3070;9365;-6295
01.02.22;WA46;Flechtwaren, Korbmacherwaren;6758;18772;-12014
01.02.22;WA47;Halbstoffe aus Holz usw., Papierabfall;130002;354846;-224844
01.02.22;WA48;Papier, Pappe und Waren daraus;1884143;1116117;768026
01.02.22;WA49;Bücher, Zeitungen, Bilddrucke usw.;297601;241340;56261
01.02.22;WA50;Seide;1961;2275;-314
01.02.22;WA51;Wolle, feine und grobe Tierhaare;43204;43822;-618
01.02.22;WA52;Baumwolle;59943;65779;-5836
01.02.22;WA53;Andere pflanzliche Spinnstoffe, Papiergarn;4498;7680;-3182
01.02.22;WA54;Synthetisches oder künstliches Filament;148151;131600;16551
01.02.22;WA55;Synthetische oder künstliche Spinnfaser;130458;122657;7801
01.02.22;WA56;Watte, Filz, Vliesstoff usw., Tauwerk;228006;156678;71328
01.02.22;WA57;Teppiche, Fussbodenbelag aus Spinnstoff;46947;103286;-56339
01.02.22;WA58;Spezialgewebe, Spitzen, Tapisserien;46146;22377;23769
01.02.22;WA59;Getränkte, bestrichene usw. Gewebe;209747;99332;110415
01.02.22;WA60;Gewirke und Gestricke;62654;40677;21977
01.02.22;WA61;Bekleidung usw. aus Gewirken, Gestricken;988036;1671336;-683300
01.02.22;WA62;Andere Bekleidung, Bekleidungszubehör;916131;1431705;-515574
01.02.22;WA63;Andere Konfektion, Spinnstoffwaren usw.;276000;447860;-171860
01.02.22;WA64;Schuhe, Gamaschen, ähnliche Waren;723881;1032658;-308777
01.02.22;WA65;Kopfbedeckungen und Teile davon;55046;71181;-16135
